web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1724337360-99","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Vanilla 8X28G","","Rp 27.200"
"1724337360-100","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Brownies 54G","","Rp 14.000"
"1724337360-101","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Red Velvet 54G","","Rp 16.500"
"1724337360-102","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Triple Choco 54G","","Rp 16.500"
"1724337360-103","https://www.klikindomaret.com/category/sarapan","Sari Roti Dorayaki Coklat 55G","","Rp 6.000"
"1724337360-104","https://www.klikindomaret.com/category/sarapan","Sari Roti Lapis Bamkuhen","","Rp 10.000"
"1724337360-105","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Choco Bun 55g","","Rp 5.000"
"1724337360-106","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Choco Cheese Bun 55G","","Rp 5.000"
"1724337360-107","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Kasur Keju 180G","","Rp 13.000"
"1724337360-108","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Coklat 114G","","Rp 10.000"
"1724337360-109","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Keju 107G","","Rp 10.500"
"1724337360-110","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Srikaya 108G","","Rp 10.500"
"1724337360-111","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Double Soft","","Rp 20.000"
"1724337360-112","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Double Soft Premium","","Rp 24.000"
"1724337360-113","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Gandum","","Rp 22.000"
"1724337360-114","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Jumbo Special","","Rp 18.000"
"1724337360-115","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Kupas Extra Kalsium 200G","","Rp 17.500"
"1724337360-116","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Milky Soft","","Rp 13.000"
"1724337360-117","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Pandan","","Rp 16.500"
"1724337360-118","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Special","","Rp 15.000"
"1724337360-119","https://www.klikindomaret.com/category/sarapan","Sharon Dora Yaki Chocolate 65G","","Rp 6.000"
"1724337360-120","https://www.klikindomaret.com/category/sarapan","Sharon Roombutter Cheese 200G","","Rp 17.000"
"1724337360-121","https://www.klikindomaret.com/category/sarapan","Sharon Roti Manis Creme Messes 200G","","Rp 16.000"
"1724337360-122","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips + Kalsium Susu Coklat 34G","","Rp 7.900"
"1724337360-123","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips + Kalsium Susu Putih 34G","","Rp 7.900"
"1724337360-124","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Cokelat 80G","","Rp 9.400"
"1724337360-125","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Coklat 150G","","Rp 21.900"
"1724337360-126","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Coklat 330G","","Rp 39.000"
"1724337360-127","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Strawberry 34G","","Rp 7.900"
"1724337360-128","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Coklat Almond 30G","","Rp 9.600"
"1724337360-129","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Raisin Almond 30G","","Rp 9.600"
"1724337360-130","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Strawberry 30G","","Rp 9.600"
"1724337360-131","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Tropical Cranberries 30G","","Rp 9.600"
"1724337360-132","https://www.klikindomaret.com/category/sarapan","Soyjoy Mochachoco Cashew 30G","","Rp 9.600"
"1724337360-133","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Kurma Tj 150G","","Rp 26.500"
"1724337360-134","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Manuka 250g","","Rp 117.100"
"1724337360-135","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 150G","","Rp 26.500"
"1724337360-136","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 500G","","Rp 70.500"
"1724337360-137","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener 50X2.5G","","Rp 52.000"
"1724337360-138","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener No Calori Diabetics 50X2g","","Rp 53.900"
"1724337360-139","https://www.klikindomaret.com/category/sarapan","Uray 100% Natural Honey 150G","","Rp 25.500"
"1724337360-140","https://www.klikindomaret.com/category/sarapan","Captain Oats Instant Oatmeal 12x40g","","Rp 33.700"
"1724337360-141","https://www.klikindomaret.com/category/sarapan","East Bali Granola Tropical Fruits 125g","","Rp 27.700"
"1724337360-142","https://www.klikindomaret.com/category/sarapan","Energen Cereal Instant Kacang Hijau 20x35G","","Rp 45.500"
"1724337360-143","https://www.klikindomaret.com/category/sarapan","Energen Cereal Instant Vanilla 20X32g","","Rp 45.500"
"1724337360-144","https://www.klikindomaret.com/category/sarapan","Granolab Muesli Instant Oatmeal Fruit & Nut 65g","","Rp 10.900"
"1724337360-145","https://www.klikindomaret.com/category/sarapan","Granolab Muesli Instant Oatmeal Rich Chocolate 65g","","Rp 10.900"
"1724337360-146","https://www.klikindomaret.com/category/sarapan","Haverjoy INSTANT OATS BOX 1000g","","Rp 31.800"
"1724337360-147","https://www.klikindomaret.com/category/sarapan","L-Men Strongberry Bar 20G","","Rp 12.200"
"1724337360-148","https://www.klikindomaret.com/category/sarapan","Lotus Spread Smooth 400G","","Rp 76.300"
"1724337360-149","https://www.klikindomaret.com/category/sarapan","Milo Cereal Breakfast + Calcium 150g","","Rp 27.000"
"1724337360-150","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Cookie Koko Krunch 30G","","Rp 9.500"
"1724337360-151","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast School Pack 75g","","Rp 14.500"
"1724337360-152","https://www.klikindomaret.com/category/sarapan","Nola Granola Chips Peanut Butter 100G","","Rp 24.700"
"1724337360-153","https://www.klikindomaret.com/category/sarapan","Nutella Jam Spread Hazelnut With Cocoa 350G","","Rp 72.000"
"1724337360-154","https://www.klikindomaret.com/category/sarapan","Nutella Jam Spread Hazelnut With Cocoa 680G","","Rp 130.900"
"1724337360-155","https://www.klikindomaret.com/category/sarapan","Oatsy Havermout Instant Oatmeal 750g","","Rp 32.300"
"1724337360-156","https://www.klikindomaret.com/category/sarapan","Ovomaltine Crunchy Cream 680g","","Rp 160.000"
"1724337360-157","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips 950G","","Rp 45.500"
"1724337360-158","https://www.klikindomaret.com/category/sarapan","Skippy Jam Chunky Peanut Spread 500g","","Rp 68.000"
"1724337360-159","https://www.klikindomaret.com/category/sarapan","Skippy Jam Creamy Peanut Butter 500g","","Rp 68.000"
"1724337360-160","https://www.klikindomaret.com/category/sarapan","St.Dalfour Selai Strawberry 170G","","Rp 42.500"
